primary_energy_consumption,energy_class,reference_number_of_the_epc_report,co2_emission,yearly_theoretical_total_energy_consumption,price,address,listing_type,tenement_building,space,floor,kitchen_type,bedrooms,toilets,heating_type,double_glazing,number_of_floors,number_of_frontages,living_area,living_room_surface,bedroom_1_surface,furnished,terrace_surface,intercom,address2,website,external_reference,agency,building_condition,elevator,accessible_for_disabled_people,swimming_pool,available_as_of,description,type_of_building,outdoor_parking_spaces,bedroom_2_surface,bedroom_3_surface,bedroom_4_surface,bedroom_5_surface,construction_year,living_room,dining_room,laundry_room,basement,air_conditioning,jacuzzi,sauna,internet,surroundings_type,gas_water_and_electricity,id
"151 kWh/m²
kilowatt hour per square meters",C,D,210 kg CO₂/m²,Not specified,"€1,250 (+ €75)
1250€ + 75€ per month",1180 — Uccle,Apartment for rent,No,"2 bedrooms | 75 m²
square meters",1.0,USA hyper equipped,"16 m²
square meters",2.0,Gas,Yes,2.0,2.0,"75 m²
square meters","20 m²
square meters","16 m²
square meters",No,"10 m²
square meters",Yes,"Rue de la Grande Haie 24
1040 - Etterbeek",Unknown,5203560,Brussels Key,As new,No,No,No,To be defined,"VDK - ALTITUDE 100// BRUSSELS KEY presents this beautiful UNFURNSIEHD two bedrooms apartment in a quiet street close to all facilities. Located on the 1st floor without elevator, it is composed of a beautiful living room, a large kitchen, a bedroom of +-10m² with private shower room and a toilet, a large bedroom of +-15m² with a beautiful bathroom with toilet. The apartment has a nice terrace with view on the garden. Charges: provision of 75 euros for the communal areas and water. PEB: D . individual boiler, double glazing. Garage available at the price of 150 euros. INFO AND VISITS info@brusselskey.be or +32 472 46 57 83",All kind,-1.0,"11 m²
square meters",Unknown,Unknown,Unknown,1950.0,Possible No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Isolated,Unknown,2328
Not specified,Not specified,Not specified,Not specified,Not specified,"€2,100 (+ €100)
2100€ + 100€ per month",1180 — Uccle,Duplex for rent,No,"1 bedroom | 160 m²
square meters",3.0,Hyper equipped,"20 m²
square meters",2.0,Gas,No,2.0,3.0,"160 m²
square meters","< than 160 m²
square meters","20 m²
square meters",Yes,"1 m²
square meter",Yes,Unknown,Unknown,Unknown,Unknown,Good,Yes,No,No,Unknown,"Fully furnished duplex
1 bedroom : king-size bed
1 bath room (shower + bath)
1 huge walk-in wardrobe
1 huge living room + kitchen including
Induction stove / washing machine / all cooking ustensiles / cutlery / fridge + working fireplace + huge sofa and large TV
Rental is 2100 euros / month
Additional 100 euros for charges which includes : Wi-Fi + Netflix + heating + water
A lot of contemporary artworks remain in this incredible flat designed by famous architect.
Facing East South and West, it's warm and bright all year round. and surrounded by greens.
Very quiet area 3 min walk to tram station, parking spot available in the street easily.
Available end of January 2023.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,No,No,No,No,No,No,Yes,Landscape,Unknown,2329
"205 kWh/m²
kilowatt hour per square meters",D,Not specified,41 kg CO₂/m²,Not specified,"€1,400/month
1400€ per month",1000 — Bruxelles,Apartment for rent,No,"1 bedroom | 65 m²
square meters",5.0,Hyper equipped,Unknown,1.0,Gas,Yes,999.0,Unknown,"65 m²
square meters","< than 65 m²
square meters",Unknown,Yes,"8 m²
square meters",Yes,Unknown,Unknown,Unknown,Unknown,As new,Yes,No,No,To be defined,"Ideally located in the heart of the European district, on one of the most beautiful squares in Brussels, this magnificent apartment (fully furnished) will delight you with its charm, its calm and its quality finishings.

Very bright, completely renovated and super-equipped, it is located on the 5th floor of a building in excellent condition, at only 300m from Schuman as well as from all facilities (train, metro and bus, with easy and quick access to the city centre, NATO and the airport). It is also located only 3' from shops, bars, restaurants, supermarkets, gyms and the beautiful Parc du Cinquantenaire.

Thanks to its optimal use of space, it is perfectly suited to accommodate 2 people.

More info:
- Elegant ENTRANCE HALL with large cloakroom and plenty of storage space
- Bright living room
- Large south-facing TERRACE
- Super-equipped KITCHEN (Nespresso machine, dishwasher, large fridge, oven, extractor fan, microwave, counter where you can have lunch facing a nice view, ...)
- BEDROOM with 160x200 bed and quality mattress + 2nd desk + storage space
- Bathroom with bathtub + shower + washing machine + iron and ironing board
- Large secure private CAVE
- 2 large separate offices have been integrated to allow the simultaneous teleworking of 2 people
- Fully furnished (including bed linen, shower towels, vacuum cleaner, ...)
hoover, ...)
- Low energy consumption
- Concierge and cameras

PERFECT FOR 1 OR 2 PEOPLE !",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,Yes,No,Yes,No,No,No,Yes,Unknown,Unknown,2330
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,370/month
1370€ per month",1180 — Uccle,Apartment for rent,No,2 bedrooms,2.0,USA hyper equipped,Unknown,1.0,Unknown,No,999.0,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Unknown,"Magnificent apartment fully renovated in 2017, located Avenue Coghen 130. It is composed as follows: A large entrance hall, a large bright living room, a fully equipped kitchen, two large bedrooms, a shower room with toilet, as well as a private cellar of 3m².

Visits are on Wednesday and Friday from 6-8pm.

Contact the tenant by phone 0493929373 for more information.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,Yes,Yes,Yes,No,No,No,No,Unknown,Unknown,2331
"306 kWh/m²
kilowatt hour per square meters",F,Not specified,61 kg CO₂/m²,Not specified,"€2,100/month
2100€ per month",1180 — Uccle,House for rent,No,"3 bedrooms | 132 m²
square meters",999.0,Hyper equipped,"13 m²
square meters",2.0,Gas,Yes,999.0,3.0,"132 m²
square meters","42 m²
square meters","13 m²
square meters",No,"15 m²
square meters",Yes,"Ch. de Waterloo 1354
1180 - Uccle",Unknown,5203363,Engel & Völkers Fort Jaco,Just renovated,No,No,No,Immediately,"Fort Jaco, quiet area, this charming house refurbished 3 facades of +/- 132 m² is composed as follows: entrance hall, guest toilet, cloakroom, office of ± 6 m². On the 1st floor: living room of ± 42 m² with open fire and access to the terrace of ± 15m and the garden of +/- 10 ares without opposite, equipped kitchen. On the 2nd floor: 2 bedrooms of ± 13 m², study of ± 6 m², bathroom with toilet. The top floor offers an attic bedroom with cupboards and washbasin. Garage with laundry room and storage room. Private parking on the property. New gas boiler, alarm, insulation work done. PEB : F. Superb location, close to Fort-Jaco with its shops and public transport. Close to the European school and the French Lycée.",All kind,-1.0,"13 m²
square meters","10 m²
square meters",Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Isolated,Unknown,2332
"244 kWh/m²
kilowatt hour per square meters",E,20150720,42 kg CO₂/m²,Not specified,"€2,550 (+ €100)
2550€ + 100€ per month",Ask for the exact address,House for rent,No,"3 bedrooms | 130 m²
square meters",999.0,Hyper equipped,"10 m²
square meters",3.0,Gas,Yes,999.0,2.0,"130 m²
square meters","22 m²
square meters","10 m²
square meters",No,Unknown,Unknown,"Avenue Louise 251
1050 - Bruxelles",http://www.sothebysrealty.be/en/,4638848,Brussels Sotheby’s International Realty,As new,No,Yes,No,Immediately,"In an area of ??two hectares, fully secure, at the corner of boulevard de la Woluwe and avenue de Tervuren, three-bedroom cottage-style house with an area of ??± 130 m² and its garden. This charming house consists of an entrance hall with cloakroom and a guest toilet, a living room with fireplace and a dining room as well as a fully equipped separate kitchen. The sleeping area has on the first floor two bedrooms which share a bathroom and on the second floor the master bedroom with balcony and adjoining bathroom. Other: laundry area equipped with a washing machine and a dryer, quality materials, two cellars, two parking spaces included in the rent, alarm, videophone, possibility of renting under a company lease. The Parc de la Woluwe offers a green and calm environment close to the facilities. It is located not far from shops and restaurants and offers easy access to public transport. For further information, please contact Melody Bingoni on +32 (0) 2 640 08 01.",All kind,2.0,"11 m²
square meters","14 m²
square meters",Unknown,Unknown,1950.0,Possible No,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2333
Not specified,Not specified,Not specified,Not specified,Not specified,"€2,100 (+ €400)
2100€ + 400€ per month",1180 — Uccle,Duplex for rent,No,"2 bedrooms | 160 m²
square meters",999.0,USA hyper equipped,"50 m²
square meters",2.0,Gas,Yes,3.0,Unknown,"160 m²
square meters","100 m²
square meters","50 m²
square meters",Yes,"25 m²
square meters",Yes,"Rue Berkendael 19
1190 - Vorst",http://www.lc-immo.be,5200249,Lambrecht Consult,As new,Yes,Yes,No,Depending on the tenant,No description,All kind,-1.0,"30 m²
square meters",Unknown,Unknown,Unknown,1990.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Isolated,Unknown,2334
"206 kWh/m²
kilowatt hour per square meters",D,Not specified,43 kg CO₂/m²,Not specified,"€2,275 (+ €150)
2275€ + 150€ per month",Ask for the exact address,Apartment for rent,No,"3 bedrooms | 125 m²
square meters",2.0,Hyper equipped,"25 m²
square meters",3.0,Gas,Unknown,4.0,2.0,"125 m²
square meters","< than 125 m²
square meters","25 m²
square meters",No,Unknown,Unknown,"Chaussée de Vleurgat, 80 Bte A1.1
1050 - Bruxelles",Unknown,4836635,Auris,As new,Yes,Yes,No,Immediately,"In a recent and classy building located near the Forêt de Soignes, beautiful 3 bedroom apartment on the second floor. First occupation after refurbishment. Beautiful terrace facing the South-West garden. Entrance hall with cloakroom and guest toilet, large living room with lovely views over the gardens and access to the terrace, fully fitted kitchen with breakfast area, master bedroom with bathroom (bath, shower, toilets), 2 large bedrooms, 1 shower room. Cellar and garage in the building (€100 and obligatory)",All kind,-1.0,"20 m²
square meters","20 m²
square meters",Unknown,Unknown,1992.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2335
"848 kWh/m²
kilowatt hour per square meters",G,Not specified,Not specified,Not specified,"€1,400/month
1400€ per month",1020 — Brussels City,House for rent,No,"3 bedrooms | 110 m²
square meters",999.0,Hyper equipped,"14 m²
square meters",2.0,Gas,Yes,999.0,3.0,"110 m²
square meters","22 m²
square meters","14 m²
square meters",No,Unknown,Unknown,"Verbeytstraat 1 B1
1853 - Strombeek-Bever",http://www.cbi-immo.be,5202593,CBI IMMO Strombeek,As new,Unknown,Unknown,Unknown,Unknown,"This unique and totally renovated three facade house is quietly located in a residential neighborhood in Laken. Within walking distance of stores, schools and public transport.The house was completely renovated and is ready to move in, consisting of a spacious entrance hall with checkroom and separate toilet, large living room with fireplace, followed by the modern kitchen with view and access to the terrace and garden. On the second floor are the new bathroom and the two bedrooms, as well as a circular staircase leading to the spacious attic / third bedroom.Driveway with room for 2 cars and a private garage box!Don't miss this outside opportunity! Would you like more information and/or a visit? Contact CBI IMMO 02/267 60 75 or olivia@cbi-immo.be",All kind,3.0,"8 m²
square meters","25 m²
square meters",Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,2336
Not specified,Not specified,Not specified,Not specified,Not specified,"€950 (+ €50)
950€ + 50€ per month",Ask for the exact address,Apartment for rent,No,"1 bedroom | 55 m²
square meters",999.0,Unknown,"10 m²
square meters",1.0,Unknown,Yes,2.0,Unknown,"55 m²
square meters","< than 55 m²
square meters","10 m²
square meters",Yes,"10 m²
square meters",Unknown,"boulevard du Souverain 36
1170 - Watermael-Boitsfort",http://www.binet.kwbelgium.com,5202766,BINET Properties,As new,Yes,Yes,Unknown,Immediately,"In Forest, in the sought-after district of Neerstalle on the border of Uccle, close to all facilities, 55m² apartment FOR RENT on the ground floor of a new building behind a private and secure block.The apartment consists of a magnificent living room with open kitchen, semi-open bedroom with bed, integrated and tailor-made dressing room and office, separate WC, laundry room, and entrance hall. The apartment overlooks a beautiful terrace of 10m².The apartment has a cellar and underground parking (possibility to rent a second parking space)PEB C-Provision for common charges €50/monthPossibility to rent UNFURNISHED at the rent of 900€/month.For more information or visits, contact BINET Properties 0479.10.42.94",All kind,1.0,Unknown,Unknown,Unknown,Unknown,2020.0,Yes,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2337
Not specified,Not specified,Not specified,Not specified,Not specified,"€900 (+ €50)
900€ + 50€ per month",Ask for the exact address,Ground floor for rent,No,"1 bedroom | 55 m²
square meters",999.0,Unknown,"10 m²
square meters",1.0,Unknown,Yes,2.0,Unknown,"55 m²
square meters","< than 55 m²
square meters","10 m²
square meters",No,"10 m²
square meters",Unknown,"boulevard du Souverain 36
1170 - Watermael-Boitsfort",http://www.binet.kwbelgium.com,5202679,BINET Properties,As new,Yes,Yes,Unknown,Immediately,"In Forest, in the sought-after district of Neerstalle on the border of Uccle, close to all facilities, 55m² apartment FOR RENT on the ground floor of a new building behind a private and secure block.The apartment consists of a magnificent living room with open kitchen, semi-open bedroom with bed, integrated and tailor-made dressing room and office, separate WC, laundry room, and entrance hall. The apartment overlooks a beautiful terrace of 10m².The apartment has a cellar and underground parking (possibility to rent a second parking space)PEB C-Provision for common charges €50/month Possibility to rent FURNISHED at the rent of 950€/month.For more information or visits, contact BINET Properties 0479.10.42.94",All kind,1.0,Unknown,Unknown,Unknown,Unknown,2020.0,Yes,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2338
"174 kWh/m²
kilowatt hour per square meters",D,Not specified,34 kg CO₂/m²,Not specified,"€1,850 (+ €50)
1850€ + 50€ per month",Ask for the exact address,Duplex for rent,No,"2 bedrooms | 140 m²
square meters",999.0,USA hyper equipped,"16 m²
square meters",1.0,Gas,Yes,4.0,2.0,"140 m²
square meters","30 m²
square meters","16 m²
square meters",No,"27 m²
square meters",Yes,"Place Burgmann 10B
1050 - Ixelles",http://www.vaneau-lecobel.be,5203285,Vaneau Lecobel Location,Just renovated,No,Yes,No,Immediately,"Between Avenue Louise and Place Fernand Cocq, sumptuous ground floor duplex apartment completely renovated with a total area of ± 140 m² in a pretty contemporary house. It consists of a large and bright living room (± 30 m²), a fully equipped American kitchen (± 10 m²), a beautiful dining area (± 10 m²), 2 beautiful bedrooms (± 16 m² and ± 10 m²) each with their own shower room, cinema area and laundry room. Superb interior courtyard (± 27 m²) accessible from the two bedrooms and the kitchen. Quality materials, high ceilings and double glazing. Charges: €50/month (flat rate for maintenance of common areas). PEB D. Accommodation of character, to discover as soon as possible!!",All kind,-1.0,"10 m²
square meters",Unknown,Unknown,Unknown,1930.0,Possible No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2339
"279 kWh/m²
kilowatt hour per square meters",F,Not specified,55 kg CO₂/m²,Not specified,"€1,350 (+ €300)
1350€ + 300€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 168 m²
square meters",3.0,USA hyper equipped,"14 m²
square meters",1.0,Gas,Unknown,5.0,2.0,"168 m²
square meters","54 m²
square meters","14 m²
square meters",No,Unknown,Yes,"Rue Belliard 200
1000 - Bruxelles",http://www.vaneau-lecobel.be,5147970,Vaneau Lecobel Bruxelles Est,As new,Yes,No,No,Immediately,"In the Place Sainte Catherine district, charming loft with a total area of ± 168 m² in a luxury building. It consists of an entrance hall with fitted laundry room, a large and bright living room (± 54 m²), a fully equipped American kitchen, two beautiful bedrooms (± 13.50 m² and ± 13.50 m²) including one with dressing room, 2 bathrooms (a bathroom and shower and a shower room) and a separate toilet. Charges: €300/month (Provision for heating and maintenance of common areas). PEB F. To discover as soon as possible at Vaneau Lecobel!!",All kind,-1.0,"14 m²
square meters",Unknown,Unknown,Unknown,1920.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2340
"101 kWh/m²
kilowatt hour per square meters",C,Not specified,20 kg CO₂/m²,Not specified,"€1,270 (+ €150)
1270€ + 150€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 90 m²
square meters",2.0,Hyper equipped,"13 m²
square meters",2.0,Gas,Yes,4.0,2.0,"90 m²
square meters","30 m²
square meters","13 m²
square meters",No,"12 m²
square meters",Yes,"Chaussée de Charleroi 259
1060 - ST-Gilles",Unknown,5195864,JAM Properties,As new,Yes,Yes,No,Immediately,"Forest, on the famous Avenue Van Volxem, we propose you this beautiful two bedroom flat located on the 2nd floor of a recent construction of 2018. It consists of a large and bright living room of 30m², a fully equipped kitchen, a first bedroom of 13m² with built-in cupboard and an adjoining bathroom including a toilet, a second bedroom of 10m² with built-in cupboard, a night hall, a shower room, a separate toilet, a laundry room and finally a beautiful terrace of 12m² facing West. Available immediately. Virtual visit available. PEB C+. Low energy consumption. For more information: www.jamproperties.be or 02 534 21 87.",All kind,1.0,"10 m²
square meters",Unknown,Unknown,Unknown,2018.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2341
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,400 (+ €120)
1400€ + 120€ per month",1040 — Etterbeek,Apartment for rent,No,"2 bedrooms | 90 m²
square meters",2.0,USA hyper equipped,"14 m²
square meters",1.0,Gas,Yes,4.0,2.0,"90 m²
square meters","32 m²
square meters","14 m²
square meters",No,"9 m²
square meters",Unknown,"Avenue de Tervueren 446
1150 - Bruxelles",http://www.jj-properties.be,5201219,J&J Properties,As new,Yes,Unknown,Unknown,Depending on the tenant,"Virtual tour: https://www.jj-properties.be/en/flat-for-rent-in-etterbeek/5201219 Located close to the Parc du Cinquantenaire and ""La Chasse"", in a quiet street, beautiful apartment (1st occupation) two bedrooms in a new building. The apartment is composed as follows: Entrance hall giving access to a spacious living room with fully equipped American kitchen. From your living room you also have access to a pleasant terrace of 9 m². We find then a night hall, a bathroom, two bedrooms (14m² & 10m²), a separate toilet and a laundry room for a washing machine and dryer. A cellar and a parking space (+ 100 €) complete the package. (Mandatory) Technical aspects: double glazing, bicycle storage and garbage cans, videophone, PEB B, double flow. Shops and public transport nearby. The situation, the quality of materials and brightness are the major assets of this property. To come and visit without delay! SofaVisit by J&J: A virtual visit accompanied by your J&J agent? ask for your Sofavisit appointment! More information on : www.jj-properties.be Ref J&J: 5201219",All kind,1.0,"10 m²
square meters",Unknown,Unknown,Unknown,2021.0,Possible No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,2342
"142 kWh/m²
kilowatt hour per square meters",C,201811160000538999015,Not specified,Not specified,"€900/month
900€ per month",1180 — Uccle,Duplex for rent,No,"1 bedroom | 65 m²
square meters",1.0,USA hyper equipped,"10 m²
square meters",1.0,Gas,Yes,3.0,2.0,"65 m²
square meters","10 m²
square meters","10 m²
square meters",Unknown,"6 m²
square meters",Yes,"Chaussée d Alsemberg 256
1190 - Forest",Unknown,5200933,MYIMMO Altitude,Good,No,No,No,Immediately,"UCCLE - A 2 pas du Parvis St Pierre, magnifique duplex de +/- 65 m² composé d'un lumineux living de +/- 10 m², d'une belle salle à manger avec cuisine super-équipée (Lave-vaisselle four, taque, frigo, machine à laver) de +/- 17 m² donnant sur une agréable terrasse exposée Est de +/- 6 m², bel espace en sous-sol composé d'un dressing, d'une chambre donnant sur une salle de douche avec toilette séparée, d'un espace bureau de +/- 7 m² avec petite cour de +/- 4 m². Beaux chÃssis double vitrage Alu, chaudière collective gaz. PEB C-. Charges 190€ (10€ pour les communs + 180€ de provision pour eau, gaz et électricité). A proximité immédiate des transports et commerces. D'autres biens disponibles sur www.myimmo.be",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2343
"168 kWh/m²
kilowatt hour per square meters",D,Not specified,33 kg CO₂/m²,Not specified,"€1,750 (+ €150)
1750€ + 150€ per month",1200 — Woluwe-Saint-Lambert,Apartment for rent,No,"3 bedrooms | 120 m²
square meters",6.0,Hyper equipped,"15 m²
square meters",2.0,Gas,Yes,7.0,2.0,"120 m²
square meters","40 m²
square meters","15 m²
square meters",No,"12 m²
square meters",Unknown,"Av. de Tervueren, 37
1040 - Etterbeek",http://www.rainbow-properties.be/index.php?language=fr,5099616,Rainbow Properties,Good,Yes,Yes,No,Immediately,"Montgomery/Tomberg: Rainbow Properties offers you this spacious and very bright apartment offering +/- 120m2 located on the 6th floor. The apartment is composed of: an entrance hall with separate toilet, a magnificent living room opening onto a terrace, a fully equipped kitchen, 3 bedrooms including one with bathroom and dressing room, a shower room, a laundry room and a cellar. Parquet, double glazing, armored door, individual meters, PEB D, washing machine and dryer. Available immediately. Charges: 150€ including maintenance of the common areas, the syndic, the elevator and the cold water. Possibility of renting a parking space underground: 100€. For information and visits : +32 491 74 54 29",All kind,-1.0,"12 m²
square meters","10 m²
square meters",Unknown,Unknown,-1.0,Possible No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Isolated,Unknown,2344
"15 kWh/m²
kilowatt hour per square meters",A,NIEUWBOUW,Not specified,Not specified,"€1,700 (+ €250)
1700€ + 250€ per month",1180 — Uccle,Apartment for rent,No,"2 bedrooms | 100 m²
square meters",999.0,USA installed,"10 m²
square meters",1.0,Gas,Yes,999.0,2.0,"100 m²
square meters","40 m²
square meters","10 m²
square meters",No,"14 m²
square meters",Yes,"Brusselsesteenweg, 15
3080 - Tervuren",http://www.ifacservice.be,spir355001,Ifac Service BV,As new,Yes,No,No,Immediately,"Newly built flat with 2 bedrooms and 2 bathrooms near the centre of Uccle. The flat is located in the Moulin Blanc project and has +/- 107m² of living space. Energy efficient living with E level lower than 15. Flat on the second floor: Entrance hall with parquet floor (4m²) and separate toilet (2m²), open kitchen (11m²) with oven, dishwasher, hood, hob, fridge and freezer. Spacious living room with lots of light (40m²). Separate storage room (4m²) with washer/dryer connections. Bedroom 1 (10m²), bathroom 1 (4m²) with spacious walk-in shower and washbasin, bedroom 2 (15m²) with integrated bathroom (5m²) with bath and washbasin. Other information: very energy-efficient, terrace (14m²) is sw oriented, separate car parking on the -1(15m²) and basement (5m²). There is communal bicycle storage. Common costs 250.00 euros per month for syndic, maintenance of gardens, common parts plus heating flat. Individual meters for water and electricity. Located near centre Uccle, close to public transport, schools, shops etc. Visits by appointment. Visit the Ifac Service website for more information and photos: https://www.ifacservice.be/nl/te-huur/355001/appartement/ukkel/stallestraat-26",All kind,1.0,"15 m²
square meters",Unknown,Unknown,Unknown,2022.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,2345
"215 kWh/m²
kilowatt hour per square meters",E,20230112-0000630937012-2,46 kg CO₂/m²,Not specified,"€2,000 (+ €200)
2000€ + 200€ per month",1180 — Uccle,Apartment for rent,No,"2 bedrooms | 135 m²
square meters",999.0,Hyper equipped,"23 m²
square meters",2.0,Gas,Yes,999.0,2.0,"135 m²
square meters","40 m²
square meters","23 m²
square meters",No,"20 m²
square meters",No,"Brusselsesteenweg, 15
3080 - Tervuren",http://www.ifacservice.be,spir354969,Ifac Service BV,As new,No,No,No,Unknown,"Beautiful luxury apartment (ground floor) with 2 bedrooms and 2 garages located in Uccle at the Domain Lorraine. Ground floor (parquet): entrance hall with security door, cloak area, separate toilet, 40m² living room with access to 2 terraces/garden, fully fitted kitchen (20m²) with breakfast corner and access to terrace, landing, bedroom 1 (23m²) with en-suite fully fitted bathroom (bath, toilet and 2 basins in unit)(7m²), bedroom 2 (16m²), fitted shower room with basin in unit (2m²), storage area/laundry room (2m²). Other information: The apartment is equipped with double glazed windows, gas fired heating system, alarm system, videophone, light fittings, curtains, cellar and 2 separate garages with automatic door. Monthly costs: 200euro/month fixed costs for common charges (a.o.t. elevator, syndic, maintenance grass and hedges, maintenance and electricity common parts, Ã)",All kind,-1.0,"16 m²
square meters",Unknown,Unknown,Unknown,2007.0,Possible No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,2346
"487 kWh/m²
kilowatt hour per square meters",G,Not specified,77 kg CO₂/m²,Not specified,"€1,150 (+ €150)
1150€ + 150€ per month",1200 — Woluwe-St-Lambert,Ground floor for rent,No,"1 bedroom | 60 m²
square meters",999.0,Hyper equipped,"14 m²
square meters",1.0,Electric,Yes,4.0,2.0,"60 m²
square meters","30 m²
square meters","14 m²
square meters",Yes,"15 m²
square meters",Unknown,"Bruinbeekstraat 23
2820 - Bonheiden",Unknown,Unknown,Sinabel Consulting sprl,Just renovated,Yes,Unknown,Unknown,Immediately,"In a quiet street, close to shops, public transport and La Rasante, beautiful one bedroom furnished apartment of about 60 sqm offering an entrance hall, super equipped kitchen with combined washing machine, large living room with dining area, bedroom with built-in wardrobes, bathroom, separate toilet, big terrace overlooking a private garden (south oriented). Underground garage box at 150 EUR (mandatory). Located on the ground floor of a recent (2016) 4-storey building by the famous architect Corbiaux. Quality finishes (wooden floor, double secured door, etc). For more information and visits, please contact 0483/58.11.22 or joelle@sinabel.be",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,2016.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,2347
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,100 (+ €85)
1100€ + 85€ per month",1140 — Evere,Apartment for rent,No,2 bedrooms,1.0,USA installed,"15 m²
square meters",2.0,Unknown,No,3.0,Unknown,Unknown,Unknown,"15 m²
square meters",Unknown,"7 m²
square meters",No,Unknown,Unknown,Unknown,Unknown,As new,Yes,Yes,No,Immediately,"On the 1st floor of a new building, at the limit of Woluwe-Saint-Lambert, close to Cora and the access to the Ring, superb flat of +/-93m2 composed as follows: an entrance hall, a living/dining room with access to a terrace exposed to the East, an open fully equipped kitchen, 2 bedrooms, 1 bathroom with toilet, 1 separate toilet, 1 laundry room, 1 cellar. Possibility to rent a parking space (100€/month). Provisions for common charges amount to 85€/month. Provisions for hot water and heating amount to 125€/month. Available immediately. To visit without delay! IPI: 513.698

Translated with www.DeepL.com/Translator (free version)",Apartment building,-1.0,"10 m²
square meters",Unknown,Unknown,Unknown,2022.0,Possible No,No,Yes,Yes,No,No,No,No,Unknown,Unknown,2348
Not specified,Not specified,Not specified,Not specified,Not specified,"€900 (+ €150)
900€ + 150€ per month",1000 — Bruxelles,Apartment for rent,No,"1 bedroom | 69 m²
square meters",2.0,USA semi equipped,"13 m²
square meters",1.0,Fuel oil,Yes,5.0,1.0,"69 m²
square meters","28 m²
square meters","13 m²
square meters",Unknown,"2 m²
square meters",No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1958.0,Possible No,No,No,Yes,No,No,No,No,Unknown,Unknown,2349
"168 kWh/m²
kilowatt hour per square meters",D,49,33 kg CO₂/m²,Not specified,"€1,150 (+ €120)
1150€ + 120€ per month",1080 — Molenbeek-Saint-Jean,Apartment for rent,No,"2 bedrooms | 118 m²
square meters",23.0,Installed,Unknown,2.0,Gas,Yes,26.0,2.0,"118 m²
square meters","< than 118 m²
square meters",Unknown,Unknown,"24 m²
square meters",Yes,Unknown,Unknown,Unknown,Unknown,Just renovated,Yes,Yes,No,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1964.0,Yes,Yes,No,Yes,No,No,No,Yes,Landscape,Unknown,2350
